WMU,Animal,Tag Type,Season Start,Season End
206,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
206,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
208,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
208,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
214,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
214,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
216,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
216,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
220,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
220,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
221,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
221,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
222,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
222,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
224,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
224,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
226,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
226,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
228,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
228,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
230,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
230,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
232,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
232,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
234,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
234,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
236,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
236,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
238,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
238,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
240,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
240,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
242,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
242,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
244,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
244,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
246,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
246,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
250,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
250,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
252,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
252,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
254,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
254,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
256,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
256,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
258,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
258,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
260,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
